X,Y,OBJECTID,HA_ID,Health_Authority,Community_Collection_Center_Nam,Address,Specific_Location,City_Town,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Days,Special_Criteria___Consideratio,Phone,Website,GlobalID,Status,Public_Access,Referral_Required,EditDate,Object,AcceptChildren,Accepts_Children,Drive_Through_Testing
-122.95413,50.1198400000001,87,3 VCHA,Vancouver Coastal,Whistler Medical Clinic Assessment Centre,"4380 Lorimer Road, Whistler",Trailer adjacent to Whistler Medical Clinic,Whistler,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,Open daily based on appointment availability,A pre-screening appointment is needed before testing. Call your primary care provider first to make an appointment or visit the website below. Saline gargle test is available for adults & children (ages 4+).  See children notes for how to prepare.,604-966-1428,https://virtualcorridor.doxy.me/whistlervirtualwalkinclinic,{651F3A65-F823-4C3E-83B2-56BD2C9E782E},Open,Yes,Yes,2021/12/29 17:13:00+00,1,"Yes. Saline gargle test available for children aged 4+. Please watch the following video to see what is expected: http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,No
-122.804422517,50.321104559,88,3 VCHA,Vancouver Coastal,Pemberton Supported Self-Collection Testing Site,"1403 Pemberton Portage Road, Pemberton",PHC Emergency parking lot – do not enter building,Pemberton,09:00 - 14:45,09:00 - 14:45,09:00 - 14:45,09:00 - 14:45,09:00 - 14:45,,,Mon - Fri,Before booking an appointment complete the Self-Assessment Tool at http://www.bc.thrive.health or call 8-1-1. If testing is needed call or text 778-689-1732 to book an appointment. Saline gargle tests are available for adults and children aged 4+. ,778-689-1732,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{7DE4C4D2-F070-4CB2-8115-EA59DB846715},Open,Yes,Yes,2022/01/04 16:06:16+00,1,"Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,No
-121.93997,50.6895500000001,89,1 IHA,Interior,Lillooet Hospital and Health Centre,"951 Murray Street, Lillooet",Use parking lot entrance for Mental Health and Substance Use and Home and Community Care,Lillooet,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{45F2675A-0575-488B-8850-84D1549384F3},Open,Yes,Yes,2021/08/26 19:52:32+00,1,Yes,Yes,Yes
-125.134618669,48.8264310860001,90,4 VIHA,Vancouver Island,Bamfield Health Centre,"353 Bamfield Road, Bamfield",In clinic,Bamfield,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{E8910E48-26A0-43B5-8262-FBD8ACE8B550},Open,Yes,Yes,2021/08/30 17:03:12+00,1,Yes,Yes,Yes
-122.651011029,49.1048510050001,91,2 FHA,Fraser,Home Health Clinic,"20651 56th Avenue, ",Located at the intersection of Logan Avenue and 56th Avenue,Langley,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,7 Days,"Call to book an appointment, press 2 and leave your name & number; your call will be returned in a timely manner within business hours. Due to current volumes there may be a one day wait.  The centre has limited walk-in capacity throughout the day.",604-539-4392,,{C93EF8DE-0E85-4AB4-8781-CD2079E35E41},Close,Yes,No,2021/05/18 19:41:33+00,1,Yes,,
-123.094673804,49.28413428,92,3 VCHA,Vancouver Coastal,DTES COVID-19 Collection Centre,"429 Alexander Street, Vancouver",,Vancouver,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,,,Mon - Fri,"Offers walk-in services to those aged 12 and over. Please call ahead if you are heavily symptomatic. Closed on statutory holidays; patients should visit UPCCs instead. Note that testing for travel purposes is not provided.",778-886-4081,,{F1D09E68-94B6-4265-8082-868BF0839089},Close,Yes,No,2021/05/18 20:47:35+00,1,Accepts children aged 12 and over only,,No
-123.147653704,49.1669582660001,93,3 VCHA,Vancouver Coastal,Richmond COVID Collection Centre,"6820 Gilbert Road, Richmond BC",Parking lot of the Richmond Tennis Club. Site is wheelchair accessible.,Richmond,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,"7 days; open statutory holidays","A drive-through assessment site available to walkers, bikers, and drivers. Accepts anyone with cold, influenza or COVID-19-like symptoms, even mild ones; health care workers and first responders. Note that testing for travel purposes is not provided.",,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{8C38D255-24E4-45ED-86E1-F1DC3C673CBC},Close,Yes,No,2020/11/12 16:18:19+00,1,"This location tests children ages 4+ only. Saline gargle rinse available for school-aged children aged 4+ (K-12). See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",,
-122.773997768,49.2665595380001,94,2 FHA,Fraser,Tri-Cities COVID-19 & Influenza-Like Illness Assessment Clinic ,"2099 Lougheed Hwy, Unit A120,  Port Coquitlam",Located in the Integrated Wellness Medical Centre. Enter via parking lot entrance (not street entrance),Port Coquitlam,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,,,Mon - Fri,"An appointment is required; walk-in is NOT accepted. Centre is open to all residents. To make an appointment you must register online at: integratedwellness.clinic/COVID19",,https://integratedwellness.clinic/covid19,{2054D773-A63C-4A3E-86E9-8681A1E2A782},Close,Yes,Yes,2020/10/02 23:26:11+00,1,Yes,,
-120.329088984,50.6712886760001,95,1 IHA,Interior,Kamloops Public Health,"519 Columbia Street, Kamloops",No drive-through testing capability.,Kamloops,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{5139EC4F-7D9F-4079-857B-A8F38D1A9D4B},Open,Yes,Yes,2021/08/26 19:52:34+00,1,Yes,Yes,No
-120.77249732,50.121007972,96,1 IHA,Interior,Nicola Valley Hospital and Health Centre,"3451 Voght Street, Merritt",,Merritt,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{235C6B03-0A4A-4F3E-83DA-C615A2129917},Open,Yes,Yes,2021/12/03 17:24:35+00,1,Yes,Yes,No
-116.50828602,49.0985963950001,97,1 IHA,Interior,Creston Valley Hospital,"312 15th Avenue N, Creston",,Creston,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{5E7ECD78-BA61-4047-8E7A-267498185BF8},Open,Yes,Yes,2021/08/26 19:52:39+00,1,Yes,Yes,No
-119.140494908,50.5462901980001,98,1 IHA,Interior,Enderby Health Centre,"707 3rd Avenue, Enderby",,Enderby,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{5AE9B318-2995-4F0B-8FFD-5E1966C2DE61},Open,Yes,Yes,2021/08/26 19:52:44+00,1,Yes,Yes,Yes
-119.492690032,49.8886900210001,99,1 IHA,Interior,Kelowna - Community Health and Services Centre,"505 Doyle Avenue, Kelowna",,Kelowna,16:30 - 22:30,16:30 - 22:30,16:30 - 22:30,16:30 - 22:30,16:30 - 22:30,16:30 - 22:30,16:30 - 22:30,7 Days,"Walk into the site and be seen on a first come, first serve basis.",,https://news.interiorhealth.ca/news/testing-information/,{4DA77B72-2CE6-4564-8574-1D0848D72B02},Close,Yes,No,2020/12/21 21:13:13+00,1,No,,
-117.275909994,49.192549996,100,1 IHA,Interior,Salmo Wellness Centre,"413 Baker Avenue, Salmo BC",,Salmo,10:30 - 14:00,10:30 - 14:00,10:30 - 14:00,10:30 - 14:00,10:30 - 14:00,10:30 - 14:00,,"Mon - Sat; open statutory holidays","By appointment only. The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 08:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{7E9767EC-7D36-4730-8AEF-BE7213BDEAA8},Close,Yes,Yes,2020/12/11 16:30:06+00,1,Yes,,
-123.0799121,49.263961931,101,3 VCHA,Vancouver Coastal,Vancouver Community College Collection Centre,North parking lot # 865,There is no access to the site through the Vancouver Community College. Parking lot entrance on 7th Avenue between Keith and Glen Drive,Vancouver,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,CLOSED,CLOSED,Last day for COVID-19 testing on June 18,"Walk-in or drive-through. See website for current wait time. Saline gargle test available for adults & children (ages 4+); see children notes below for how to prepare. Note: Testing for travel purpose not provided.",,http://www.edwaittimes.ca/covidtestingwaittime.aspx,{3F10B992-36A3-44DE-8D00-1709A150C035},Close,Yes,No,2021/06/21 14:57:33+00,1,"This location tests children aged 4+ only. Saline gargle test available for children aged 4+. Please watch the following video to see what is expected: http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,Yes
-125.1214,48.7994600000001,102,4 VIHA,Vancouver Island,"Huu-ay-aht First Nations, a Nuu-chah-nulth Community","415 Kiixen Road, Anacla",Tent outside Soaring Eagle,Huu ay aht,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{9C14AC55-13D4-417B-8EF1-8C0203B83D3D},Open,Yes,Yes,2021/11/17 21:48:48+00,1,Yes,Yes,No
-124.672481,48.8072100000001,103,4 VIHA,Vancouver Island,"Ditidaht First Nations,  a Nuu-chah-nulth community",479 Malachan Indian Reserve Road,Tent outside the Health Centre,Ditidaht,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{45614F30-5BA8-4F50-8BAF-C2CACD514FDA},Open,Yes,Yes,2021/08/30 17:03:30+00,1,Yes,Yes,No
-124.84451,49.2641610000001,104,4 VIHA,Vancouver Island,"Tseshaht First Nations, a Nuu-chah-nulth community","5001 Mission Road, Tseshaht",Tent outside Maht Mahs Gym,Tseshaht,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{7DC28371-97C5-4A02-8AAD-6BC1C5C856B1},Open,Yes,Yes,2021/08/30 17:03:38+00,1,Yes,Yes,No
-124.824631,49.2649500000001,105,4 VIHA,Vancouver Island,"Hupacasath First Nations, a Nuu-chah-nulth community",5500 Ahahswinis Drive,Covered area outside the House of Gathering,Hupacasath,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{559E5149-30EF-4D85-8CE7-3013D7A80B17},Open,Yes,Yes,2021/08/30 17:03:47+00,1,Yes,Yes,No
-123.106224734,49.3190505900001,106,3 VCHA,Vancouver Coastal,Lions Gate Hospital,"231 East 15th St, North Vancouver, BC V7L 2L7",,North Vancouver,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Site Removed from map as of 24 June,"Note: This site is now CLOSED All residents seeking a test should access testing at the North Vancouver UPCC. Located at 221 West Esplanade, Suite 200, North Vancouver ",,,{76BA5EF8-DB10-4FDA-81AC-1B1B454C6E75},Close,Yes,No,2021/01/13 22:42:58+00,1,,,
-123.141195536,49.6979251320001,107,3 VCHA,Vancouver Coastal,Squamish General Hospital - Emergency Department,"38140 Behrner Drive, Squamish",Emergency Department,Squamish,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,24 hrs,7 Days,Emergent only or when outpatient testing is unavailable,604-892-5211,http://www.vch.ca/your-care/hospital-care,{C822DE9C-2E4C-4B0C-8795-6DE34CC32AEA},Open,Yes,No,2021/08/30 17:10:34+00,1,Yes,Yes,No
-122.81836996,49.1228700190001,108,2 FHA,Fraser,Surrey COVID-19 Testing and Immunization Centre,"14577 66th Avenue, Surrey",,Surrey,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,"7 days; open statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{B231D4A7-E94F-4407-804B-C3B691970FF1},Open,Yes,Yes,2021/12/29 21:56:58+00,1,Accepts children aged 3 months and over. ,Yes,Yes
-122.643869644,49.1106105260001,109,2 FHA,Fraser,Langley COVID-19 Testing and Immunization Centre,"20901 Langley Bypass, Langley","Parking Lot #L3 at Kwantlen Polytechnic University. Drop-in & drive-through access from Langley Bypass only; do not enter KPU or Best Western grounds or facilities.",Langley,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,"7 days; open statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{0C087D0D-5212-452E-8994-D26FA6F9453A},Open,Yes,Yes,2021/12/29 21:51:45+00,1,Accepts children aged 3 months and over ,Yes,Yes
-128.58568001,54.521840017,110,5 NHA,Northern,Terrace Health Unit,"3412 Kalum Street, Terrace","Side of building. Park in front parking lot, in Bay 4 or 5, until called inside",Terrace,By appointment,By appointment,By appointment,By appointment,By appointment,No appointments available,No appointments available,Mon - Fri,Appointment required. Individuals with symptoms of COVID-19 may book online at https://northernhealthcovid.secureform.ca/index.php or call the Northern Health Virtual Clinic at 1-844-645-7811.,"1-844-645-7811 Call: 10:00 - 22:00, 7 days a week including statutory holidays. Fax reqs to: 250-638-2264",https://northernhealthcovid.secureform.ca/index.php,{5BB18487-F0AE-4A8E-8541-91DCC066AEEB},Open,Yes,Yes,2021/11/04 22:32:05+00,1,Yes,Yes,Yes
-116.034024317,50.5058199100001,111,1 IHA,Interior,Invermere District Hospital,"850 10th Avenue, Invermere","Enter on 10th Street, next to BC Ambulances Services",Invermere,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{B0D6D12E-7F61-491C-8F42-FF5EA2B8619E},Open,Yes,Yes,2021/08/26 19:52:52+00,1,Yes,Yes,No
-117.662211209,49.3145034660001,112,1 IHA,Interior,Castlegar and District Community Health Centre,"813 10th Street, Castlegar","Drive through testing available. Parking available in front of the building; please stay in your vehicle.",Castlegar,By appointment,By appointment,By appointment,By appointment,By appointment,,,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{45A56F32-2886-42B4-8728-81F488EFE66E},Open,Yes,Yes,2021/09/13 18:35:53+00,1,Yes,Yes,Yes
-121.426637926,49.3765110080001,113,2 FHA,Fraser,Hope COVID-19 Testing and Immunization Centre,"1275 7th Avenue, Hope",,Hope,14:30 - 15:30,14:30 - 15:30,14:30 - 15:30,14:30 - 15:30,14:30 - 15:30,,,"Mon - Fri; closed statutory holidays",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{7869EA17-E073-47CE-8792-0FBF7573ABA5},Open,Yes,Yes,2022/01/04 15:59:22+00,1,Accepts children aged 3 months and over. ,Yes,No
-121.28021169,50.734833155,114,1 IHA,Interior,Ashcroft Health Centre,"700 Ash-Cache Creek Hwy, Ashcroft",,Ashcroft,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{A7252A0F-3BB6-4AAB-83C0-D27E601DE7F0},Open,Yes,Yes,2021/08/26 19:52:57+00,1,Yes,Yes,Yes
-120.019076499,51.6471469950001,115,1 IHA,Interior,Dr. Helmcken Memorial Hospital,"640 Park Drive, Clearwater",Drive through testing available,Clearwater,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{AE118F11-F699-469A-820C-A0F5F94CA05B},Open,Yes,Yes,2021/08/26 19:53:00+00,1,Yes,Yes,Yes
-122.803902146,49.2769747310001,116,2 FHA,Fraser,Tri-Cities COVID-19 Testing and Immunization Centre,"2796 Aberdeen Avenue, Coquitlam",Coquitlam Park and Ride Overflow lot. Entrance off Mariner Way.,Coquitlam,09:30 - 20:30,09:30 - 20:30,09:30 - 20:30,09:30 - 20:30,09:30 - 20:30,09:30 - 16:30,09:30 - 16:30,"7 days; open statutory holidays 09:30 - 16:30",Appointment required. Book online at https://fraserhealth.secureform.ca/index.php,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{7808FB23-3318-448F-8C44-904E3CF36EC7},Open,Yes,Yes,2022/01/04 15:55:10+00,1,Accepts children aged 3 months and over. ,Yes,Yes
-123.465483,48.4446500000001,117,4 VIHA,Vancouver Island,West Shore Collection and Assessment Centre,"1767 Island Highway, Victoria",Located at the Juan de Fuca Senior Citizen Centre – Building 3,Victoria,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:00 - 16:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{79DFFD5B-493E-4D6B-8595-638A65DDE9B2},Open,Yes,Yes,2021/08/30 17:03:56+00,1,Yes,Yes,Yes
-124.520209583,49.845485045,118,3 VCHA,Vancouver Coastal,Powell River Test Collection Centre,"4794 Joyce Avenue, Powell River",Drive-up location,Powell River,09:00 - 11:00,09:00 - 11:00,09:00 - 11:00,09:00 - 11:00,09:00 - 11:00,,,"Mon - Fri; closed statutory holidays. Weekends and after clinic hours, testing is available at Powell River Hospital – Emergency Department.","By appointment only. Book at https://prcomplexclinic.com/ or call 604-485-3572. Offers saline gargle test for adult & children. For saline test, don’t eat, drink, vape, smoke, brush teeth, chew gum at least 1 hour before test; see website instructions.",604-485-3572,http://prcomplexclinic.com/,{D6219B86-6E62-4BEB-84DA-F4F924E65B1C},Close,Yes,Yes,2021/11/01 17:12:06+00,1,"This location tests children aged 4+ only. Saline gargle test available for children aged 4+. Please watch the following video to see what is expected: http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,Yes
-119.620797951,49.83095609,119,1 IHA,Interior,West Kelowna Test Collection Centre,"110-2300 Carrington Road, West Kelowna",Located at the Acorn Plaza,West Kelowna,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{5C11FE41-C63F-4296-8635-6278CD2C9B5A},Open,Yes,Yes,2021/08/26 19:53:03+00,1,Yes,Yes,No
-120.52766,49.4535000000001,120,1 IHA,Interior,Princeton General Hospital,"98 Ridgewood Drive, Princeton",Clinic located behind Ridgewood Lodge Long-Term Care,Princeton,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,By appointment,"Hours and days of operation are subject to change, see online booking tool for current availability.","The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{E43C4C66-9ACB-4DBE-824A-D1D2C8BB552B},Open,Yes,Yes,2021/11/22 16:00:27+00,1,Yes,Yes,Yes
-121.578889993,50.235010018,121,1 IHA,Interior,St. Bartholomew’s Hospital,"844 Main Street, Lytton",,Lytton,11:00 - 12:00,,11:00 - 12:00,,11:00 - 12:00,,,"Mon, Wed and Fri","By appointment only. The public, health care workers and staff can book online at https://interiorhealthcovid.secureform.ca/index.php or call: 1-877-740-7747","1-877-740-7747, open 07:00 - 19:00, 7 days a week to help with booking an appointment",https://interiorhealthcovid.secureform.ca/index.php,{EFA7D3A9-9CC7-4687-8D1B-4D3C01B0B6E0},Close,Yes,Yes,2021/07/02 15:41:04+00,1,Yes,Yes,No
-122.846346764,49.184754883,122,2 FHA,Fraser,Surrey-North COVID-19 Test Collection Centre,"10025 King George Blvd, Surrey",,Surrey,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,"7 days; open statutory holidays",Appointments are preferred and can be pre-booked online at https://fraserhealth.secureform.ca/index.php. Walk-ins are accepted but limited based on capacity.,"Central Intake Line: 604-587-3936, open 8:30 - 16:30, 7 days a week to help with booking an appointment",https://fraserhealth.secureform.ca/index.php,{6151C7C0-46B3-4425-8F8C-B9101B8389E5},Close,Yes,No,2021/02/18 21:09:04+00,1,Accepts children aged 3 months and over. ,,
-123.166372085,49.1940898810001,123,3 VCHA,Vancouver Coastal,Richmond Collection Centre - JetSet ,"5911 North Service Road, Richmond",In the JetSet parking lot at Aviation Avenue and North Service Road,Richmond,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,7 days a week,"Drive- up testing only; no walk-in. Open to public, health care workers and first responders. Saline gargle tests available for ages 4+ and nasal swab available as backup; see children notes. Testing for travel purposes not provided.",,http://www.edwaittimes.ca/covidtestingwaittime.aspx,{B8C8E82A-C273-4612-81D6-E876F00102E7},Open,Yes,No,2022/01/04 16:13:06+00,1,This location tests all ages. Nasal swab available as back up and for ages 4 and under. Please watch the following video to see what is expected: http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth. ,Yes,Yes
-123.126849981,49.278929992,124,3 VCHA,Vancouver Coastal,Three Bridges Collection Centre,"1128 Hornby Street, Vancouver",,Vancouver,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:00,09:00 - 17:00,"7 days; closed statutory holidays","A walk-in location only. Open to public, healthcare workers and first responders. Saline gargle test available for adults & children (ages 4+). See children notes for how to prepare.",,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/testing/children-youth,{192E0040-BA6F-41E7-87D5-5369A7BDFC14},Open,Yes,No,2022/01/04 16:10:45+00,1,"This location tests children aged 4+ only. Saline gargle test available for children aged 4+. See website noted below to watch a video to see what is expected; the test is more successful when children have seen the video beforehand. If the sample cannot be collected successfully, a nasal swab is available as a backup.",Yes,No
-123.320034908,48.4624671170001,125,4 VIHA,Vancouver Island,UVIC COVID-19 Test Collection Site,"3800 Finnerty Road, Victoria","Tent in Parking Lot 10, best accessed from West Campus Gate and Gordon Head Road",Victoria,08:30 – 20:00,08:30 – 20:00,08:30 – 20:00,08:30 – 20:00,08:30 – 20:00,08:30 – 20:00,08:30 – 20:00,"Call centre hours below; open statutory holidays. See website for location hours.","By appointment only. Individuals with symptoms of COVID-19 may call the Island Health COVID-19 Call Centre 08:30 – 20:00, 7 days a week to book an appointment. See website below for more information.",1-844-901-8442,https://www.islandhealth.ca/covid19testing,{A57E8EB3-5803-4CE9-8F0C-EE64CA68FA8F},Close,Yes,Yes,2021/07/29 00:17:15+00,1,Yes,Yes,Yes
-127.829194254,55.088038743,126,5 NHA,Northern,Gitsegukla Health Centre - CLOSED per reception not offering due to lack of nurses on site,"165 Howe Street, Gitsegukla",,Gitsegukla,09:00 - 14:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,,,"Mon - Fri; closed statutory holidays","Appointment required. Open to Gitsegukla community members only at this time; call to make an appointment.",250-849-5231,,{EE8D48BA-9DE7-4108-8210-2462D21AC61B},Close,Yes,Yes,2021/06/01 18:36:00+00,1,Yes,Yes,
